Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Ancient Den,Mirrodin,278,Near Mint,English,,,,,,,,
1,0,Ancient Grudge,Innistrad,127,Near Mint,English,,,,,,,,
1,0,Ancient Hellkite,Magic 2011,122,Near Mint,English,,,,,,,,
2,0,Ancient Ziggurat,Premium Deck Series: Slivers,31,Near Mint,English,foil,,,,,,,0
1,0,Angel of Serenity,Commander 2015,58,Near Mint,English,,,,,,,,
1,0,Angel's Feather,Magic 2012,202,Near Mint,English,,,,,,,,
1,0,Angel's Mercy,Magic 2013,3,Near Mint,English,,,,,,,,
1,0,Angel's Tomb,Avacyn Restored,211,Near Mint,English,,,,,,,,0
1,0,Angelic Benediction,Magic 2013,4,Near Mint,English,,,,,,,,
1,0,Angelic Captain,Battle for Zendikar,208,Near Mint,English,,,,,,,,
1,0,Angelic Purge,Shadows over Innistrad,3,Near Mint,English,,,,,,,,
1,0,Angelic Wall,Avacyn Restored,4,Near Mint,English,,,,,,,,0
1,0,"Animar, Soul of Elements",Commander,181,Near Mint,English,,,,,,,,
3,0,Animate Dead,Premium Deck Series: Graveborn,16,Near Mint,English,foil,,,,,,,0
1,0,"Anowon, the Ruin Sage",Worldwake,49,Near Mint,English,,,,,,,,
1,0,"Anya, Merciless Angel",Commander 2015,41,Near Mint,English,,,,,,,,
2,0,Aphetto Dredging,Premium Deck Series: Slivers,28,Near Mint,English,foil,,,,,,,0
1,0,Apostle's Blessing,New Phyrexia,2,Near Mint,English,,,,,,,,0
1,0,Aquus Steed,Return to Ravnica,29,Near Mint,English,,,,,,,,
1,0,Arachnogenesis,Commander 2015,32,Near Mint,English,,,,,,,,
1,0,Arachnoid,Fifth Dawn,102,Near Mint,English,foil,,,,,,,0
1,0,Aradara Express,Kaladesh,195,Near Mint,English,,,,,,,,
1,0,Arbalest Elite,Magic 2012,5,Near Mint,English,,,,,,,,
1,0,Arbiter of Knollridge,Commander 2015,59,Near Mint,English,,,,,,,,
1,0,Arbor Colossus,Commander 2015,174,Near Mint,English,,,,,,,,
1,0,Arbor Elf,Worldwake,95,Near Mint,English,,,,,,,,0
1,0,Arc Lightning,Khans of Tarkir,97,Near Mint,English,,,,,,,,
1,0,Arc Trail,Duel Decks: Speed vs. Cunning,23,Near Mint,English,,,,,,,,0
2,0,Arc Trail,Scars of Mirrodin,81,Near Mint,English,,,,,,,,
1,0,Arc-Slogger,Mirrodin,85,Near Mint,English,,,,,,,,
1,0,Arcane Sanctum,Shards of Alara,220,Near Mint,English,,,,,,,,0
1,0,Arcanis the Omnipotent,Duel Decks: Speed vs. Cunning,42,Near Mint,English,foil,,,,,,,0
1,0,Armillary Sphere,Commander,242,Near Mint,English,,,,,,,,0
1,0,Armillary Sphere,Commander 2013,235,Near Mint,English,,,,,,,,0
1,0,Armor Sliver,Premium Deck Series: Slivers,16,Near Mint,English,foil,,,,,,,0
2,0,Armored Skaab,Innistrad,43,Near Mint,English,,,,,,,,
1,0,Armored Warhorse,Magic 2012,7,Near Mint,English,,,,,,,,
1,0,Arms Dealer,Magic 2013,120,Near Mint,English,,,,,,,,
1,0,Arrest,Mirrodin,2,Near Mint,English,foil,,,,,,,0
1,0,Arrest,Return to Ravnica,3,Near Mint,English,,,,,,,,0
4,0,Arrow Storm,Khans of Tarkir,98,Near Mint,English,,,,,,,,
1,0,Ascendant Evincar,Nemesis,51,Near Mint,English,,,,,,,,0
1,0,Asceticism,Scars of Mirrodin,110,Near Mint,English,,,,,,,,
1,0,Ashcloud Phoenix,Khans of Tarkir,99,Near Mint,English,,,,,,,,
1,0,Ashmouth Hound,Innistrad,128,Near Mint,English,,,,,,,,
1,0,Assault Strobe,Scars of Mirrodin,82,Near Mint,English,,,,,,,,
1,0,Assault Suit,Commander 2014,53,Near Mint,English,,,,,,,,0
1,0,Attended Knight,Magic 2013,5,Near Mint,English,,,,,,,,
1,0,Attrition,Urza's Destiny,52,Near Mint,English,,,,,,,,0
2,0,Audacious Infiltrator,Aether Revolt,7,Near Mint,English,,,,,,,,
3,0,Augmenting Automaton,Aether Revolt,143,Near Mint,English,,,,,,,,
1,0,"Aurelia, the Warleader",Gatecrash,143,Near Mint,English,,,,,,,,0
1,0,Auriok Bladewarden,Mirrodin,3,Near Mint,English,foil,,,,,,,0
1,0,Auriok Transfixer,Mirrodin,5,Near Mint,English,foil,,,,,,,0
1,0,Avacyn's Collar,Dark Ascension,145,Near Mint,English,,,,,,,,
1,0,Avacynian Missionaries,Shadows over Innistrad,6,Near Mint,English,,,,,,,,
3,0,Avacynian Priest,Innistrad,4,Near Mint,English,,,,,,,,
1,0,Avalanche Riders,"Time Spiral ""Timeshifted""",55,Near Mint,English,,,,,,,,
1,0,Avatar of Fury,Commander,110,Near Mint,English,,,,,,,,0
1,0,Avatar of Woe,Premium Deck Series: Graveborn,6,Near Mint,English,foil,,,,,,,0
2,0,Aven Fleetwing,Magic 2012,44,Near Mint,English,,,,,,,,
1,0,Aven Riftwatcher,Eternal Masters,1,Near Mint,English,,,,,,,,
1,0,Aven Squire,Magic 2013,6,Near Mint,English,,,,,,,,
1,0,Avian Changeling,Lorwyn,4,Near Mint,English,foil,,,,,,,0
2,0,Awe for the Guilds,Dragon's Maze,31,Near Mint,English,,,,,,,,
1,0,Azorius Chancery,Dissension,170,Near Mint,English,,,,,,,,0
2,0,Azorius Cluestone,Dragon's Maze,136,Near Mint,English,,,,,,,,
1,0,"Azusa, Lost but Seeking",Champions of Kamigawa,201,Near Mint,English,,,,,,,,0
1,0,Bad Moon,"Time Spiral ""Timeshifted""",38,Near Mint,English,,,,,,,,
1,0,Bad River,Mirage,289,Near Mint,English,,,,,,,,
1,0,Baku Altar,Betrayers of Kamigawa,152,Near Mint,English,,,,,,,,
1,0,Ballista Charger,Kaladesh,196,Near Mint,English,,,,,,,,
1,0,Balthor the Defiled,Judgment,61,Near Mint,English,,,,,,,,
1,0,Bane Alley Blackguard,Dragon's Maze,21,Near Mint,English,,,,,,,,
1,0,Bane of Progress,Commander 2015,175,Near Mint,English,,,,,,,,
1,0,Banefire,Duel Decks: Speed vs. Cunning,31,Near Mint,English,,,,,,,,0
2,0,Baneful Omen,Rise of the Eldrazi,96,Near Mint,English,,,,,,,,
1,0,Banishing Light,Commander 2015,61,Near Mint,English,,,,,,,,
1,0,Banishing Stroke,Avacyn Restored,7,Near Mint,English,,,,,,,,
1,0,"Baral, Chief of Compliance",Aether Revolt,28,Near Mint,English,,,,,,,,
1,0,Barbed Sliver,Premium Deck Series: Slivers,18,Near Mint,English,foil,,,,,,,0
1,0,Barony Vampire,Magic 2011,82,Near Mint,English,,,,,,,,
3,0,Barrage of Boulders,Khans of Tarkir,100,Near Mint,English,,,,,,,,
1,0,Barrage Tyrant,Battle for Zendikar,127,Near Mint,English,,,,,,,,
1,0,Barren Moor,Commander,266,Near Mint,English,,,,,,,,0
1,0,Barter in Blood,Mirrodin,57,Near Mint,English,,,,,,,,0
1,0,Basalt Monolith,Commander 2015,244,Near Mint,English,,,,,,,,
1,0,Basilica Guards,Gatecrash,5,Near Mint,English,,,,,,,,
1,0,Bastion Enforcer,Aether Revolt,8,Near Mint,English,,,,,,,,
3,0,Bastion Inventor,Aether Revolt,30,Near Mint,English,,,,,,,,
1,0,Batterhorn,Return to Ravnica,87,Near Mint,English,,,,,,,,
1,0,Battering Sliver,Planar Chaos,95,Near Mint,English,,,,,,,,
3,0,Battleflight Eagle,Magic 2013,7,Near Mint,English,,,,,,,,
1,0,Battleground Geist,Innistrad,45,Near Mint,English,,,,,,,,
1,0,Beacon of Immortality,Tenth Edition,10,Near Mint,English,,,,,,,,
1,0,Beacon of Unrest,Fifth Dawn,41,Near Mint,English,,,,,,,,0
1,0,Beastcaller Savant,Battle for Zendikar,170,Near Mint,English,,,,,,,,
1,0,Beastmaster Ascension,Commander 2014,186,Near Mint,English,,,,,,,,0
1,0,Beastmaster Ascension,Commander 2015,176,Near Mint,English,,,,,,,,0
1,0,Bedlam Reveler,Eldritch Moon,118,Near Mint,English,,,,,,,,
2,0,Beetleback Chief,Duel Decks: Speed vs. Cunning,14,Near Mint,English,,,,,,,,0
1,0,Beetleback Chief,Eternal Masters,119,Near Mint,English,,,,,,,,
1,0,Behold the Beyond,Shadows over Innistrad,101,Near Mint,English,,,,,,,,
2,0,Belltower Sphinx,Magic 2012,46,Near Mint,English,,,,,,,,
1,0,Benalish Veteran,Magic 2012,10,Near Mint,English,,,,,,,,
1,0,Bident of Thassa,Commander 2015,86,Near Mint,English,,,,,,,,
1,0,Biomantic Mastery,Commander 2015,239,Near Mint,English,,,,,,,,
1,0,Biting Rain,Shadows over Innistrad,102,Near Mint,English,,,,,,,,
4,0,Bitter Revelation,Khans of Tarkir,65,Near Mint,English,,,,,,,,
1,0,Black Sun's Zenith,Mirrodin Besieged,39,Near Mint,English,,,,,,,,
3,0,Blackcleave Cliffs,Scars of Mirrodin,224,Near Mint,English,,,,,,,,
1,0,Blade of Selves,Commander 2015,51,Near Mint,English,,,,,,,,
1,0,Blade of the Bloodchief,Zendikar,196,Near Mint,English,foil,,,,,,,0
3,0,Blade of the Bloodchief,Zendikar,196,Near Mint,English,,,,,,,,
2,0,Bladed Bracers,Avacyn Restored,213,Near Mint,English,,,,,,,,
1,0,Bladed Pinions,Scars of Mirrodin,140,Near Mint,English,,,,,,,,
2,0,Bladetusk Boar,Journey into Nyx,90,Near Mint,English,,,,,,,,
1,0,Blasted Landscape,Commander 2015,278,Near Mint,English,,,,,,,,
1,0,Blaze,Tenth Edition,190,Near Mint,English,,,,,,,,
1,0,Blazing Archon,Premium Deck Series: Graveborn,11,Near Mint,English,foil,,,,,,,0
3,0,Blazing Torch,Innistrad,216,Near Mint,English,,,,,,,,
1,0,Blessing of Leeches,Betrayers of Kamigawa,62,Near Mint,English,,,,,,,,
1,0,Blight Herder,Battle for Zendikar,2,Near Mint,English,,,,,,,,
3,0,Blighted Agent,New Phyrexia,29,Near Mint,English,,,,,,,,
2,0,Blighted Cataract,Battle for Zendikar,229,Near Mint,English,,,,,,,,
2,0,Blighted Fen,Battle for Zendikar,230,Near Mint,English,,,,,,,,
2,0,Blighted Gorge,Battle for Zendikar,231,Near Mint,English,,,,,,,,
2,0,Blighted Steppe,Battle for Zendikar,232,Near Mint,English,,,,,,,,
2,0,Blighted Woodland,Battle for Zendikar,233,Near Mint,English,,,,,,,,0
1,0,Blind Zealot,New Phyrexia,52,Near Mint,English,foil,,,,,,,0
1,0,Blinding Souleater,New Phyrexia,131,Near Mint,English,,,,,,,,0
1,0,Blinding Spray,Khans of Tarkir,32,Near Mint,English,,,,,,,,
1,0,Blister Beetle,Shards of Alara,66,Near Mint,German,,,,,,,,0
1,0,Blood Mist,Eldritch Moon,119,Near Mint,English,,,,,,,,
1,0,Blood Rites,Commander 2013,101,Near Mint,English,,,,,,,,0
1,0,Blood Seeker,Zendikar,80,Near Mint,English,,,,,,,,0
3,0,Blood Seeker,Magic 2012,81,Near Mint,English,,,,,,,,
1,0,Blood Tithe,Magic 2011,84,Near Mint,English,,,,,,,,
2,0,Blood Tribute,Zendikar,81,Near Mint,English,,,,,,,,
1,0,Bloodchief Ascension,Zendikar,82,Near Mint,English,foil,,,,,,,0
2,0,Bloodchief Ascension,Zendikar,82,Near Mint,English,,,,,,,,
4,0,Bloodcrazed Neonate,Innistrad,131,Near Mint,English,,,,,,,,
3,0,Bloodfell Caves,Khans of Tarkir,229,Near Mint,English,,,,,,,,0
3,0,Bloodfire Expert,Khans of Tarkir,101,Near Mint,English,,,,,,,,
3,0,Bloodfire Mentor,Khans of Tarkir,102,Near Mint,English,,,,,,,,
1,0,Bloodfray Giant,Return to Ravnica,89,Near Mint,English,,,,,,,,
1,0,Bloodghast,Zendikar,83,Near Mint,English,,,,,,,,
3,0,Bloodline Keeper,Innistrad,90,Near Mint,English,,,,,,,,
1,0,Bloodlord of Vaasgoth,Prerelease Events,50,Near Mint,English,,,,,,,,0
2,0,Bloodmad Vampire,Shadows over Innistrad,146,Near Mint,English,,,,,,,,
1,0,Bloodthrone Vampire,Magic 2013,83,Near Mint,English,,,,,,,,0
3,0,Blossoming Sands,Khans of Tarkir,231,Near Mint,English,,,,,,,,0
1,0,Bludgeon Brawl,New Phyrexia,80,Near Mint,English,,,,,,,,
1,0,Blue Sun's Zenith,Mirrodin Besieged,20,Near Mint,English,,,,,,,,0
1,0,Blunt the Assault,Scars of Mirrodin,113,Near Mint,English,,,,,,,,
1,0,Bog Wraith,Tenth Edition,130,Near Mint,German,,,,,,,,0
2,0,Bojuka Bog,Worldwake,132,Near Mint,English,,,,,,,,0
1,0,Bold Impaler,Eldritch Moon,120,Near Mint,English,,,,,,,,
1,0,Bomat Bazaar Barge,Kaladesh,198,Near Mint,English,,,,,,,,
3,0,Bonds of Faith,Innistrad,5,Near Mint,English,,,,,,,,
1,0,Bone Splinters,Duel Decks: Speed vs. Cunning,22,Near Mint,English,,,,,,,,0
1,0,Bone Splinters,Shards of Alara,67,Near Mint,English,,,,,,,,0
1,0,Bonebreaker Giant,Magic 2012,123,Near Mint,English,,,,,,,,
1,0,Bonehoard,Mirrodin Besieged,100,Near Mint,English,,,,,,,,0
1,0,Boomerang,Mirage,56,Near Mint,English,,,,,,,,0
1,0,Boomerang,Ninth Edition,66,Near Mint,English,,,,,,,,0
3,0,Boon of Emrakul,Eldritch Moon,81,Near Mint,English,,,,,,,,
1,0,Borderland Behemoth,Commander 2015,142,Near Mint,English,,,,,,,,
1,0,Boreal Shelf,Coldsnap,144,Near Mint,English,,,,,,,,
1,0,Boros Charm,Commander 2016,185,Near Mint,English,,,,,,,,0
1,0,Boros Cluestone,Commander 2015,246,Near Mint,English,,,,,,,,
2,0,Boros Cluestone,Dragon's Maze,137,Near Mint,English,,,,,,,,0
1,0,Boros Garrison,Commander 2015,279,Near Mint,English,,,,,,,,0
1,0,Boros Guildgate,Commander 2015,280,Near Mint,English,,,,,,,,0
1,0,Boros Guildgate,Dragon's Maze,147,Near Mint,English,,,,,,,,0
1,0,Boros Signet,Commander 2015,247,Near Mint,English,,,,,,,,0
1,0,Borrowed Grace,Eldritch Moon,14,Near Mint,English,,,,,,,,
2,0,Borrowed Hostility,Eldritch Moon,121,Near Mint,English,,,,,,,,
2,0,Borrowed Malevolence,Eldritch Moon,82,Near Mint,English,,,,,,,,
1,0,Bound by Moonsilver,Shadows over Innistrad,7,Near Mint,English,,,,,,,,
1,0,Bounteous Kirin,Saviors of Kamigawa,123,Near Mint,English,,,,,,,,
3,0,Brain Weevil,Innistrad,91,Near Mint,English,,,,,,,,
1,0,Brainstorm,Commander,40,Near Mint,English,,,,,,,,0
2,0,Brave the Sands,Khans of Tarkir,5,Near Mint,English,,,,,,,,0
1,0,Brawn,Judgment,107,Near Mint,English,foil,,,,,,,0
1,0,Brazen Wolves,Eldritch Moon,122,Near Mint,English,,,,,,,,
1,0,Breath of Darigaaz,Commander 2015,143,Near Mint,English,,,,,,,,
1,0,Bred for the Hunt,Dragon's Maze,59,Near Mint,English,,,,,,,,0
1,0,Briber's Purse,Khans of Tarkir,217,Near Mint,English,,,,,,,,
1,0,Bridge from Below,Future Sight,81,Near Mint,German,,,,,,,,0
3,0,Brimstone Volley,Innistrad,132,Near Mint,English,,,,,,,,
4,0,Bring Low,Khans of Tarkir,103,Near Mint,English,,,,,,,,
1,0,Brink of Disaster,Magic 2012,84,Near Mint,English,,,,,,,,
1,0,Brood Butcher,Battle for Zendikar,199,Near Mint,English,,,,,,,,
1,0,Brood Sliver,Premium Deck Series: Slivers,22,Near Mint,English,foil,,,,,,,0
1,0,Brooding Saurian,Commander 2013,138,Near Mint,English,,,,,,,,0
1,0,Broodstar,Mirrodin,31,Poor,English,,,,,,,,0
1,0,Brothers Yamazaki,Champions of Kamigawa,160,Near Mint,English,,,,,,,,0
2,0,Brothers Yamazaki,Champions of Kamigawa,160,Near Mint,English,,,,,,,,
1,0,Brutal Expulsion,Battle for Zendikar,200,Near Mint,English,,,,,,,,
1,0,Built to Last,Kaladesh,7,Near Mint,English,,,,,,,,
2,0,Bump in the Night,Innistrad,92,Near Mint,English,,,,,,,,
2,0,Buried Alive,Premium Deck Series: Graveborn,20,Near Mint,English,foil,,,,,,,0
1,0,Buried Ruin,Magic 2012,224,Near Mint,English,,,,,,,,0
1,0,Burn Away,Khans of Tarkir,104,Near Mint,English,,,,,,,,
1,0,Burning Oil,Dark Ascension,84,Near Mint,English,,,,,,,,
2,0,Burning Vengeance,Innistrad,133,Near Mint,English,,,,,,,,0
1,0,Burst Lightning,Zendikar,119,Near Mint,English,,,,,,,,0
1,0,Butcher Ghoul,Avacyn Restored,89,Near Mint,English,,,,,,,,
1,0,Butcher of Malakir,Worldwake,53,Near Mint,English,,,,,,,,0
1,0,Butcher's Cleaver,Innistrad,217,Near Mint,English,,,,,,,,
1,0,Cabal Coffers,Torment,139,Near Mint,English,,,,,,,,
1,0,Cabal Therapy,Premium Deck Series: Graveborn,12,Near Mint,English,foil,,,,,,,0
1,0,Caged Sun,New Phyrexia,132,Near Mint,English,,,,,,,,
1,0,Calciform Pools,Time Spiral,270,Near Mint,English,,,,,,,,
1,0,Call the Skybreaker,Commander,188,Near Mint,English,,,,,,,,0
1,0,Call to Serve,Avacyn Restored,9,Near Mint,English,,,,,,,,
1,0,Call to the Kindred,Dark Ascension,30,Near Mint,English,,,,,,,,
1,0,Call to the Netherworld,Time Spiral,97,Near Mint,English,,,,,,,,
1,0,Caller of the Claw,Commander 2015,177,Near Mint,English,,,,,,,,
1,0,Cancel,Tenth Edition,71,Near Mint,English,,,,,,,,0
1,0,Cancel,Magic 2012,47,Near Mint,English,,,,,,,,0
2,0,Cancel,Khans of Tarkir,33,Near Mint,English,,,,,,,,
1,0,Canopy Vista,Battle for Zendikar,234,Near Mint,English,,,,,,,,
4,0,Canyon Lurkers,Khans of Tarkir,105,Near Mint,English,,,,,,,,
1,0,Capricious Efreet,Commander 2013,102,Near Mint,English,,,,,,,,0
1,0,Capsize,Tempest,55,Near Mint,English,,,,,,,,
1,0,Captain of the Watch,Duel Decks: Elspeth vs. Kiora,3,Near Mint,English,,,,,,,,0
1,0,Captivating Vampire,Magic 2011,87,Near Mint,English,foil,,,,,,,0
2,0,Captivating Vampire,Magic 2011,87,Near Mint,English,,,,,,,,
1,0,Caress of Phyrexia,New Phyrexia,53,Near Mint,English,,,,,,,,
1,0,Carnage Altar,Commander 2013,238,Near Mint,English,,,,,,,,0
1,0,Carnifex Demon,Scars of Mirrodin,57,Near Mint,English,,,,,,,,
1,0,Catacomb Slug,Return to Ravnica,58,Near Mint,English,,,,,,,,0
1,0,Cathars' Crusade,Commander 2016,61,Near Mint,English,,,,,,,,0
1,0,Cathartic Reunion,Kaladesh,109,Near Mint,English,,,,,,,,
1,0,Cautery Sliver,Planar Chaos,154,Near Mint,English,,,,,,,,
1,0,Celestial Colonnade,Worldwake,133,Near Mint,English,,,,,,,,
2,0,Cellar Door,Innistrad,218,Near Mint,English,,,,,,,,
1,0,Cemetery Reaper,Magic 2010,87,Near Mint,English,,,,,,,,0
1,0,Cemetery Recruitment,Eldritch Moon,83,Near Mint,English,,,,,,,,
1,0,Cephalid Sage,Eternal Masters,41,Near Mint,English,,,,,,,,
1,0,Chain Reaction,Commander,113,Near Mint,English,,,,,,,,0
2,0,Chain Reaction,Worldwake,74,Near Mint,English,,,,,,,,0
1,0,Chameleon Colossus,Commander 2015,178,Near Mint,English,,,,,,,,
1,0,Champion of the Parish,Innistrad,6,Near Mint,English,,,,,,,,
1,0,Chancellor of the Dross,New Phyrexia,54,Near Mint,English,,,,,,,,
1,0,Chandra's Outrage,Magic 2012,125,Near Mint,English,,,,,,,,0
1,0,Chandra's Pyrohelix,Kaladesh,111,Near Mint,English,,,,,,,,
1,0,Chandra's Revolution,Aether Revolt,77,Near Mint,English,,,,,,,,
1,0,Channel the Suns,Fifth Dawn,84,Near Mint,English,,,,,,,,
4,0,Chapel Geist,Innistrad,7,Near Mint,English,,,,,,,,
1,0,Charmbreaker Devils,Innistrad,134,Near Mint,English,,,,,,,,0
1,0,Charnelhoard Wurm,Commander 2013,180,Near Mint,English,,,,,,,,0
1,0,Chasm Drake,Magic 2012,48,Near Mint,English,,,,,,,,
1,0,Chemister's Trick,Return to Ravnica,149,Near Mint,English,foil,,,,,,,0
1,0,Chief of the Foundry,Kaladesh,200,Near Mint,English,foil,,,,,,,0
1,0,Child of Night,Magic 2010,88,Near Mint,English,,,,,,,,0
2,0,Child of Night,Magic 2011,88,Near Mint,English,,,,,,,,0
2,0,Child of Night,Magic 2012,87,Near Mint,English,,,,,,,,0
1,0,Chill to the Bone,Coldsnap,52,Near Mint,English,,,,,,,,
1,0,Choice of Damnations,Saviors of Kamigawa,62,Near Mint,English,,,,,,,,
1,0,Choking Restraints,Eldritch Moon,16,Near Mint,English,,,,,,,,
2,0,Chronic Flooding,Return to Ravnica,32,Near Mint,English,,,,,,,,
1,0,Circle of Affliction,Planar Chaos,66,Near Mint,English,,,,,,,,
1,0,Civilized Scholar,Innistrad,47,Near Mint,English,,,,,,,,
1,0,Claustrophobia,Innistrad,48,Near Mint,English,foil,,,,,,,0
1,0,Clear a Path,Dragon's Maze,32,Near Mint,English,,,,,,,,0
1,0,Clearwater Goblet,Fifth Dawn,109,Near Mint,English,,,,,,,,
1,0,Cleaver Riot,Magic 2013,125,Near Mint,English,,,,,,,,
1,0,Clever Impersonator,Khans of Tarkir,34,Near Mint,English,,,,,,,,
1,0,Cloistered Youth,Innistrad,8,Near Mint,English,,,,,,,,
1,0,Clone,Magic 2011,49,Near Mint,English,,,,,,,,0
1,0,Clot Sliver,Premium Deck Series: Slivers,5,Near Mint,English,foil,,,,,,,0
1,0,Cloud Cover,Planeshift,98,Near Mint,English,,,,,,,,
1,0,Cloud Elemental,Magic 2011,50,Near Mint,English,,,,,,,,0
1,0,Cloud Sprite,Tenth Edition,75,Near Mint,English,,,,,,,,
2,0,Cloudpost,Mirrodin,280,Near Mint,English,,,,,,,,
1,0,Cloudshift,Avacyn Restored,12,Near Mint,English,,,,,,,,
1,0,Cloven Casting,Alara Reborn,86,Near Mint,German,,,,,,,,0
1,0,Coalition Relic,Duel Decks: Phyrexia vs. the Coalition,54,Near Mint,English,,,,,,,,0
1,0,Coastal Tower,Eighth Edition,323,Near Mint,English,foil,,,,,,,0
1,0,Coat of Arms,Duels of the Planeswalkers,90,Near Mint,English,,,,,,,,0
1,0,Coat of Arms,Premium Deck Series: Slivers,29,Near Mint,English,foil,,,,,,,0
3,0,Cobbled Wings,Innistrad,219,Near Mint,English,,,,,,,,
1,0,Cobra Trap,Commander 2015,180,Near Mint,English,,,,,,,,
1,0,Coercion,Eighth Edition,122,Near Mint,English,,,,,,,,0
1,0,Coiling Oracle,Duel Decks: Elspeth vs. Kiora,51,Near Mint,English,,,,,,,,0
1,0,Coiling Oracle,Commander 2015,213,Near Mint,English,,,,,,,,0
1,0,Cold-Eyed Selkie,Commander 2015,241,Near Mint,English,,,,,,,,
1,0,Coldsteel Heart,Commander 2015,249,Near Mint,English,,,,,,,,
1,0,Collective Brutality,Eldritch Moon,85,Near Mint,English,,,,,,,,
1,0,Collective Effort,Eldritch Moon,17,Near Mint,English,,,,,,,,
1,0,Collective Unconscious,Commander 2014,187,Near Mint,English,,,,,,,,0
1,0,Colossus of Akros,Theros,214,Near Mint,English,,,,,,,,
1,0,Command Beacon,Commander 2015,56,Near Mint,English,,,,,,,,
2,0,Command Tower,Commander,269,Near Mint,English,,,,,,,,0
1,0,Command Tower,Commander 2013,281,Near Mint,English,,,,,,,,0
2,0,Command Tower,Commander 2015,281,Near Mint,English,,,,,,,,0
